Date,LSTM_Forecast
2025-06-25,5.626078e+07
2025-06-26,5.626972e+07
2025-06-27,5.626139e+07
2025-06-28,5.6240024e+07
2025-06-29,5.6214096e+07
2025-06-30,5.6187676e+07
2025-07-01,5.616212e+07
2025-07-02,5.6137104e+07
2025-07-03,5.611284e+07
2025-07-04,5.608777e+07
2025-07-05,5.6068012e+07
2025-07-06,5.6048824e+07
2025-07-07,5.60316e+07
2025-07-08,5.6013732e+07
2025-07-09,5.6001268e+07
2025-07-10,5.598918e+07
2025-07-11,5.597868e+07
2025-07-12,5.5968052e+07
2025-07-13,5.595833e+07
2025-07-14,5.5947824e+07
2025-07-15,5.5936596e+07
2025-07-16,5.5929864e+07
2025-07-17,5.5922876e+07
2025-07-18,5.591599e+07
2025-07-19,5.590927e+07
2025-07-20,5.5904016e+07
2025-07-21,5.5900816e+07
2025-07-22,5.5897516e+07
2025-07-23,5.5892748e+07
2025-07-24,5.5890476e+07
2025-07-25,5.588774e+07
2025-07-26,5.5885644e+07
2025-07-27,5.588374e+07
2025-07-28,5.5882024e+07
2025-07-29,5.588048e+07
2025-07-30,5.5879096e+07
2025-07-31,5.587786e+07
2025-08-01,5.5876756e+07
2025-08-02,5.5875772e+07
2025-08-03,5.5874892e+07
2025-08-04,5.587411e+07
2025-08-05,5.587342e+07
2025-08-06,5.5872796e+07
2025-08-07,5.587225e+07
2025-08-08,5.5871756e+07
2025-08-09,5.587132e+07
2025-08-10,5.587093e+07
2025-08-11,5.5870584e+07
2025-08-12,5.587028e+07
2025-08-13,5.5870004e+07
2025-08-14,5.586976e+07
2025-08-15,5.586955e+07
2025-08-16,5.586936e+07
2025-08-17,5.5869188e+07
2025-08-18,5.586904e+07
2025-08-19,5.5868908e+07
2025-08-20,5.5868788e+07
2025-08-21,5.5868684e+07
2025-08-22,5.5868588e+07
2025-08-23,5.586851e+07
2025-08-24,5.5868436e+07
2025-08-25,5.5868364e+07
2025-08-26,5.5868308e+07
2025-08-27,5.5868256e+07
2025-08-28,5.5868212e+07
2025-08-29,5.5868172e+07
2025-08-30,5.5868136e+07
2025-08-31,5.5868104e+07
2025-09-01,5.5868076e+07
2025-09-02,5.5868052e+07
2025-09-03,5.5868028e+07
2025-09-04,5.5868004e+07
2025-09-05,5.5867988e+07
2025-09-06,5.5867972e+07
2025-09-07,5.586796e+07
2025-09-08,5.5867944e+07
2025-09-09,5.586794e+07
2025-09-10,5.586793e+07
2025-09-11,5.5867916e+07
2025-09-12,5.586791e+07
2025-09-13,5.58679e+07
2025-09-14,5.5867896e+07
2025-09-15,5.586789e+07
2025-09-16,5.5867884e+07
2025-09-17,5.586788e+07
2025-09-18,5.5867876e+07
2025-09-19,5.5867876e+07
2025-09-20,5.5867868e+07
2025-09-21,5.5867868e+07
2025-09-22,5.5867864e+07
